adapt_last_objective,anchor_name,anchor_step,art_painting_full_acc,bn_source,candidate_id,candidate_steps,coefficients,consistency_beta,delta_vs_base_art_painting_full_acc,delta_vs_base_test_env0_in_acc,delta_vs_base_test_env0_out_acc,distill_beta,entropy_beta,epochs,family,global_probe_index,interp_alpha,kl_beta,l2_lambda,loss_temperature,lr,mode,num_shards,optimizer,pca_coefficients,peer_a_step,peer_b_step,peer_step,probe_id,prototype_applied,pseudo_beta,sam_rho,scope,search_alpha,selection_score,shard_id,support_acc,support_mean_loss,support_top_alpha_loss,support_weight_mode,teacher_name,test_env0_in_acc,test_env0_out_acc,validation_mean_loss,view_names,weight_decay
0.11390309842924277,bestmean,8500,0.78369140625,,,,,0.0,-0.037109375,-0.03599755948749239,-0.041564792176039145,0.0,0.0,20,supervised_update,0,1.0,0.0,0.0,0.0,0.001,param_update,8,adam,,,,,bestmean_clf_supervised,,0.0,0.0,classifier,,,0,0.9747974797479748,0.0788781898642461,0.3884185454196126,uniform,,0.7827943868212325,0.7872860635696821,0.08410343728145632,[],0.0
0.4394701168768936,bestmean,250,0.7685546875,,,,,0.0,-0.05224609375,-0.05003050640634532,-0.06112469437652812,0.0,0.0,18,hard_example_update,1,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestmean_clf_hard_tail,,0.0,0.0,classifier,,,1,0.9621962196219622,0.12682789803315989,0.563039699959208,top_alpha,,0.7687614399023796,0.7677261613691931,0.1635502075948635,[],0.0
0.1550182443526056,bestmean,650,0.8076171875,,,,,0.0,-0.01318359375,-0.0134228187919464,-0.012224938875305624,0.0,0.0,18,anchor_kl_update,2,1.0,0.2,0.0,0.0,0.0005,param_update,8,adam,,,,,bestmean_clf_anchor_kl,,0.0,0.0,classifier,,,2,0.9666966696669667,0.09355669388499917,0.4515068037511993,uniform,,0.8053691275167785,0.8166259168704156,0.10536150421415057,[],0.0
0.11664130952623156,bestmean,700,0.818359375,,,,,0.0,-0.00244140625,-0.0024405125076266687,-0.0024449877750610804,0.0,0.0,18,anchor_l2_update,3,1.0,0.0,0.0001,0.0,0.0005,param_update,8,adam,,,,,bestmean_clf_anchor_l2,,0.0,0.0,classifier,,,3,0.9675967596759676,0.08668730003834355,0.42219455974504866,uniform,,0.8163514338010982,0.8264058679706602,0.1145469626458753,[],0.0
0.11797491316166189,bestmean,8450,0.80908203125,,,,,0.0,-0.01171875,-0.010372178157413092,-0.017114914425427896,0.0,0.0,18,anchor_kl_l2_update,4,1.0,0.1,0.0001,0.0,0.0005,param_update,8,adam,,,,,bestmean_clf_anchor_kl_l2,,0.0,0.0,classifier,,,4,0.9720972097209721,0.08256574260469153,0.40497045060120873,uniform,,0.8084197681513118,0.8117359413202934,0.10464489409903519,[],0.0
0.05840913692696227,bestmean,350,0.83740234375,,,,,0.0,0.0166015625,0.018303843807199516,0.009779951100244544,0.0,0.0,18,pseudo_label_update,5,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestmean_clf_pseudo_anchor,,1.0,0.0,classifier,,,5,0.9558955895589559,0.14519517690591568,0.723801462034356,,,0.8370957901159244,0.8386308068459658,0.17822146315534576,[],0.0
0.04290749760629195,bestmean,7500,0.796875,,,,,0.0,-0.02392578125,-0.02501525320317266,-0.019559902200488977,0.0,0.0,18,agreement_pseudo_update,6,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestmean_clf_pseudo_agree_local,,1.0,0.0,classifier,,,6,0.9621962196219622,0.15127066271828263,0.7557431663052006,,,0.7937766931055522,0.8092909535452323,0.15728865150643997,[],0.0
0.005348248730620576,bestmean,750,0.14404296875,,,,,0.75,-0.6767578125,-0.6729713239780355,-0.6919315403422983,0.0,0.0,15,consistency_update,7,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestmean_clf_consistency_views,,0.0,0.0,classifier,,,7,0.0774077407740774,6.260348402973967,9.318875724831146,,,0.14582062233068943,0.13691931540342298,6.146842668036453,"['hflip', 'rotate_p10', 'grayscale']",0.0
0.05778726407637199,bestmean,8500,0.8095703125,,,,,0.5,-0.01123046875,-0.01403294691885304,0.0,0.0,0.0,15,pseudo_consistency_update,8,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestmean_clf_pseudo_consistency,,0.8,0.0,classifier,,,0,0.9702970297029703,0.10407328391210029,0.5084929678390685,,,0.8047589993898718,0.8288508557457213,0.12771264620187903,"['hflip', 'autocontrast']",0.0
0.09429579745564196,bestmean,250,0.83154296875,,,,,0.0,0.0107421875,0.01342281879194629,0.0,1.0,0.0,18,distillation_update,9,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestmean_clf_teacher_distill_local,,0.0,0.0,classifier,,,1,0.9612961296129613,0.13077082727383982,0.5982907070179783,,local_uniform,0.8322147651006712,0.8288508557457213,0.1391070585290925,[],0.0
