status,global_index,method,family,scheme,description,parameter_name,parameter_value,variant_index,family_size,selected_steps,mean_full_acc,mean_in_acc,mean_out_acc,support_loss,validation_loss,art_painting_full_acc,mean_full_acc,mean_in_acc,mean_out_acc,test_env0_in_acc,test_env0_out_acc
success,7,blackwell_target_set_selector,blackwell_target_set_selector,blackwell_target_set_selector__target_epsilon_0p02,Greedy approachability selector that drives the uniform soup toward a source-domain target set.,target_epsilon,0.02,4,2,"[1000, 13300]",0.88232421875,0.8773642464917633,0.902200488997555,0.12579227485094624,0.051540566614179426,0.88232421875,0.88232421875,0.8773642464917633,0.902200488997555,0.8773642464917633,0.902200488997555
success,71,version_space_compression_selector,version_space_compression_selector,version_space_compression_selector__margin_eps_0p5_0p1,Version-space-inspired compression that preserves the full-bank disagreement region on source support.,margin_eps,0.5_0.1,2,8,"[50, 100, 1400, 1600, 9050, 9100, 10500, 12700]",0.88134765625,0.8798047589993899,0.8875305623471883,0.11358196822788925,0.05181729334930913,0.88134765625,0.88134765625,0.8798047589993899,0.8875305623471883,0.8798047589993899,0.8875305623471883
success,55,stochastic_dominance_selector,stochastic_dominance_selector,stochastic_dominance_selector__order_slack_first_0p01,Distributional frontier selector based on empirical stochastic dominance instead of mean-loss ranking.,order_slack,first_0.01,2,51,"[100, 150, 200, 250, 300, 350, 450, 500, 550, 600, 650, 700, 750, 800, 850, 950, 1000, 1050, 1250, 1550, 1650, 1900, 2000, 2100, 2650, 2700, 2800, 2900, 4100, 4200, 4400, 4950, 5150, 5400, 7400, 8550, 9200, 9300, 9450, 9500, 9550, 9600, 9650, 9700, 9850, 13000, 13050, 13100, 13150, 13250, 13300]",0.87646484375,0.8718730933496034,0.8948655256723717,0.12160672197616336,0.05209099995011479,0.87646484375,0.87646484375,0.8718730933496034,0.8948655256723717,0.8718730933496034,0.8948655256723717
success,15,checkpoint_banzhaf_selector,checkpoint_banzhaf_selector,checkpoint_banzhaf_selector__positive_mass_0p5,Game-theoretic family selector based on positive coalition value under uniform soups.,positive_mass,0.5,0,56,"[100, 150, 200, 250, 300, 350, 450, 550, 750, 800, 1000, 1050, 1150, 1400, 1650, 2000, 2250, 2300, 2750, 3100, 4400, 4500, 4700, 4950, 6050, 6100, 6300, 6900, 7300, 8400, 8450, 8550, 8600, 8900, 9000, 9050, 9200, 9600, 9650, 10050, 10850, 11050, 11700, 11750, 13050, 13100, 13150, 13200, 13250, 13350, 13500, 13550, 13700, 14700, 14800, 14850]",0.87646484375,0.87248322147651,0.8924205378973105,0.1260267149889213,0.04272165180755263,0.87646484375,0.87646484375,0.87248322147651,0.8924205378973105,0.87248322147651,0.8924205378973105
success,31,dpp_repulsive_subset,dpp_repulsive_subset,dpp_repulsive_subset__feature_gainfloor_loss_0p1,Greedy DPP MAP family with explicit subset repulsion and quality-weighted kernels.,feature_gainfloor,loss_0.1,2,74,"[150, 200, 250, 300, 350, 450, 500, 550, 600, 650, 700, 750, 800, 850, 950, 1000, 1150, 1200, 1250, 1450, 1550, 1650, 1700, 1900, 2000, 2050, 2250, 2350, 2400, 2650, 2700, 2750, 2800, 4100, 4150, 4200, 4450, 4850, 4950, 5150, 5300, 5400, 6950, 7450, 7500, 7550, 7600, 7950, 8150, 8450, 8500, 8550, 8750, 8900, 8950, 9200, 9350, 9450, 9550, 9600, 9650, 9800, 9850, 10250, 11700, 13050, 13100, 13150, 13200, 13250, 13300, 13500, 13700, 14250]",0.8759765625,0.87248322147651,0.8899755501222494,0.12581028426937846,0.049345588381989165,0.8759765625,0.8759765625,0.87248322147651,0.8899755501222494,0.87248322147651,0.8899755501222494
success,39,prequential_regret_selector,prequential_regret_selector,prequential_regret_selector__blocks_penalty_16_0p0,Dynamic-programming selector that keeps the checkpoint specialists actually used by the minimum-regret switching path.,blocks_penalty,16_0.0,0,14,"[200, 2600, 4500, 6200, 6900, 7300, 7550, 9650, 9850, 10750, 13150, 13200, 14700, 14850]",0.8740234375,0.8682123245881636,0.8973105134474327,0.1349171930523782,0.04618507898373514,0.8740234375,0.8740234375,0.8682123245881636,0.8973105134474327,0.8682123245881636,0.8973105134474327
success,23,conformal_ambiguity_coverage_selector,conformal_ambiguity_coverage_selector,conformal_ambiguity_coverage_selector__alpha_target_0p1_0p75,Validation-calibrated ambiguity coverage selector using split-conformal-style true-class nonconformity thresholds.,alpha_target,0.1_0.75,2,300,"[50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950, 6000, 6050, 6100, 6150, 6200, 6250, 6300, 6350, 6400, 6450, 6500, 6550, 6600, 6650, 6700, 6750, 6800, 6850, 6900, 6950, 7000, 7050, 7100, 7150, 7200, 7250, 7300, 7350, 7400, 7450, 7500, 7550, 7600, 7650, 7700, 7750, 7800, 7850, 7900, 7950, 8000, 8050, 8100, 8150, 8200, 8250, 8300, 8350, 8400, 8450, 8500, 8550, 8600, 8650, 8700, 8750, 8800, 8850, 8900, 8950, 9000, 9050, 9100, 9150, 9200, 9250, 9300, 9350, 9400, 9450, 9500, 9550, 9600, 9650, 9700, 9750, 9800, 9850, 9900, 9950, 10000, 10050, 10100, 10150, 10200, 10250, 10300, 10350, 10400, 10450, 10500, 10550, 10600, 10650, 10700, 10750, 10800, 10850, 10900, 10950, 11000, 11050, 11100, 11150, 11200, 11250, 11300, 11350, 11400, 11450, 11500, 11550, 11600, 11650, 11700, 11750, 11800, 11850, 11900, 11950, 12000, 12050, 12100, 12150, 12200, 12250, 12300, 12350, 12400, 12450, 12500, 12550, 12600, 12650, 12700, 12750, 12800, 12850, 12900, 12950, 13000, 13050, 13100, 13150, 13200, 13250, 13300, 13350, 13400, 13450, 13500, 13550, 13600, 13650, 13700, 13750, 13800, 13850, 13900, 13950, 14000, 14050, 14100, 14150, 14200, 14250, 14300, 14350, 14400, 14450, 14500, 14550, 14600, 14650, 14700, 14750, 14800, 14850, 14900, 14950, 14999]",0.87353515625,0.8688224527150702,0.8924205378973105,0.1447354692124957,0.045266988675477876,0.87353515625,0.87353515625,0.8688224527150702,0.8924205378973105,0.8688224527150702,0.8924205378973105
success,63,topological_persistence_selector,topological_persistence_selector,topological_persistence_selector__feature_persistence_loss_0p5,"Persistent-component selector over checkpoint geometry, using long-lived branches as family representatives.",feature_persistence,loss_0.5,0,150,"[350, 400, 900, 1150, 1200, 1400, 1450, 1500, 1550, 1650, 1700, 1750, 1850, 2200, 2250, 2300, 2500, 2550, 2600, 3000, 3050, 3100, 3150, 3200, 3300, 3350, 3400, 3500, 3550, 3650, 3700, 3750, 3800, 3850, 3950, 4000, 4050, 4250, 4300, 4400, 4450, 4500, 4550, 4600, 4700, 4850, 4950, 5150, 5350, 5400, 5450, 5600, 5650, 5700, 5750, 5800, 5900, 6050, 6100, 6150, 6200, 6300, 6350, 6400, 6500, 6600, 6750, 6800, 6850, 6900, 6950, 7000, 7050, 7200, 7250, 7300, 7350, 7500, 7750, 7950, 8050, 8100, 8150, 8200, 8700, 8750, 8850, 8900, 8950, 9000, 9050, 9100, 9150, 9200, 9250, 9350, 9400, 9450, 9600, 9650, 9850, 9950, 10000, 10050, 10100, 10250, 10350, 10400, 10450, 10500, 10550, 10650, 10900, 10950, 11000, 11050, 11250, 11450, 11500, 11550, 11600, 11700, 11750, 11950, 12200, 12400, 12550, 12600, 12650, 12700, 13100, 13250, 13300, 13350, 13450, 13500, 13550, 13600, 13700, 13800, 13850, 14250, 14550, 14650, 14700, 14750, 14800, 14850, 14950, 14999]",0.8681640625,0.8627211714460037,0.8899755501222494,0.14358750428450331,0.04499884313676788,0.8681640625,0.8681640625,0.8627211714460037,0.8899755501222494,0.8627211714460037,0.8899755501222494
success,47,refined_kernel_herding_selector,refined_kernel_herding_selector,refined_kernel_herding_selector__feature_epsilon_loss_0p2,Adaptive-stop kernel herding baseline that greedily approximates the full-bank feature mean until a residual cutoff is met.,feature_epsilon,loss_0.2,2,1,[350],0.85205078125,0.8535692495424039,0.8459657701711492,0.12219714657022114,0.0933011981869946,0.85205078125,0.85205078125,0.8535692495424039,0.8459657701711492,0.8535692495424039,0.8459657701711492
