status,global_index,category,family,scheme,description,parameter_name,parameter_value,variant_index,is_control,mean_full_acc,mean_in_acc,mean_out_acc,support_loss,validation_loss,top_weights,art_painting_full_acc,mean_full_acc,mean_in_acc,mean_out_acc,test_env0_in_acc,test_env0_out_acc
success,631,subspace,residual_to_uniform_soup,residual_to_uniform_soup__temperature_0p01,Prefer checkpoints that correct the uniform committee residual directly.,temperature,0.01,0,False,0.880859375,0.8779743746186699,0.8924205378973105,0.10636342928806046,0.06538651169849043,"[{'index': 22, 'rank': 1, 'step': 8000, 'weight': 0.06739345006981197}, {'index': 9, 'rank': 2, 'step': 1250, 'weight': 0.05558486121551552}, {'index': 17, 'rank': 3, 'step': 4550, 'weight': 0.05295481339904344}, {'index': 23, 'rank': 4, 'step': 13950, 'weight': 0.05180524501786607}, {'index': 21, 'rank': 5, 'step': 7450, 'weight': 0.05130916533496092}]",0.880859375,0.880859375,0.8779743746186699,0.8924205378973105,0.8779743746186699,0.8924205378973105
success,447,domain,hard_gain_worst_domain_tradeoff,hard_gain_worst_domain_tradeoff__alpha_0p5,Prefer checkpoints that rescue hard examples without blowing up the worst source domain.,alpha,0.5,6,False,0.880859375,0.8785845027455765,0.8899755501222494,0.15008585250908785,0.07143432756361529,"[{'index': 22, 'rank': 1, 'step': 8000, 'weight': 0.09384018626829245}, {'index': 8, 'rank': 2, 'step': 1000, 'weight': 0.07433261771831617}, {'index': 21, 'rank': 3, 'step': 7450, 'weight': 0.06823471380831156}, {'index': 11, 'rank': 4, 'step': 1550, 'weight': 0.06772771582769332}, {'index': 23, 'rank': 5, 'step': 13950, 'weight': 0.06762956838302292}]",0.880859375,0.880859375,0.8785845027455765,0.8899755501222494,0.8785845027455765,0.8899755501222494
success,539,error_structure,hard_example_committee,hard_example_committee__temperature_0p15,Prefer checkpoints that improve the hardest support examples.,temperature,0.15,8,False,0.88037109375,0.8767541183648566,0.8948655256723717,0.1288818100301346,0.0940172906432833,"[{'index': 22, 'rank': 1, 'step': 8000, 'weight': 0.0646222687669921}, {'index': 23, 'rank': 2, 'step': 13950, 'weight': 0.057576541224688756}, {'index': 11, 'rank': 3, 'step': 1550, 'weight': 0.05410197396796414}, {'index': 9, 'rank': 4, 'step': 1250, 'weight': 0.05162981559874017}, {'index': 14, 'rank': 5, 'step': 3000, 'weight': 0.050434767695921846}]",0.88037109375,0.88037109375,0.8767541183648566,0.8948655256723717,0.8767541183648566,0.8948655256723717
success,659,trajectory,acceleration_minimizer,acceleration_minimizer__power_4p0,Prefer checkpoints with low second-derivative norm in prediction space.,power,4.0,8,False,0.88037109375,0.8785845027455765,0.8875305623471883,0.12474429404193704,0.06553857310228989,"[{'index': 0, 'rank': 1, 'step': 250, 'weight': 0.2708044377469673}, {'index': 23, 'rank': 2, 'step': 13950, 'weight': 0.1779452052186939}, {'index': 13, 'rank': 3, 'step': 2100, 'weight': 0.04900271695641317}, {'index': 19, 'rank': 4, 'step': 6650, 'weight': 0.039473619022187614}, {'index': 12, 'rank': 5, 'step': 2050, 'weight': 0.03774662700178854}]",0.88037109375,0.88037109375,0.8785845027455765,0.8875305623471883,0.8785845027455765,0.8875305623471883
success,255,consensus,redundancy_penalized_quality,redundancy_penalized_quality__power_1p25,Prefer accurate checkpoints that are not redundant with highly similar peers.,power,1.25,4,False,0.8798828125,0.87614399023795,0.8948655256723717,0.14251835421851017,0.09450440263735647,"[{'index': 18, 'rank': 1, 'step': 5100, 'weight': 0.09726663831096508}, {'index': 22, 'rank': 2, 'step': 8000, 'weight': 0.0785587185492013}, {'index': 17, 'rank': 3, 'step': 4550, 'weight': 0.07681922275110477}, {'index': 3, 'rank': 4, 'step': 600, 'weight': 0.06286054839963945}, {'index': 12, 'rank': 5, 'step': 2050, 'weight': 0.061468574250573456}]",0.8798828125,0.8798828125,0.87614399023795,0.8948655256723717,0.87614399023795,0.8948655256723717
success,27,blend,denoised_residual_committee,denoised_residual_committee__alpha_0p5,Prefer checkpoints whose low-rank-denoised projection quality aligns with committee residual correction.,alpha,0.5,6,False,0.8798828125,0.8773642464917633,0.8899755501222494,0.11157927652661673,0.0737314614929071,"[{'index': 0, 'rank': 1, 'step': 250, 'weight': 0.09053295816109597}, {'index': 8, 'rank': 2, 'step': 1000, 'weight': 0.08561645049764133}, {'index': 17, 'rank': 3, 'step': 4550, 'weight': 0.06902450598853932}, {'index': 23, 'rank': 4, 'step': 13950, 'weight': 0.06311820554726899}, {'index': 1, 'rank': 5, 'step': 350, 'weight': 0.06239423830215543}]",0.8798828125,0.8798828125,0.8773642464917633,0.8899755501222494,0.8773642464917633,0.8899755501222494
success,251,consensus,redundancy_penalized_quality,redundancy_penalized_quality__power_0p25,Prefer accurate checkpoints that are not redundant with highly similar peers.,power,0.25,0,False,0.8798828125,0.8773642464917633,0.8899755501222494,0.12923524577697046,0.08010327233737256,"[{'index': 18, 'rank': 1, 'step': 5100, 'weight': 0.0524722555931657}, {'index': 22, 'rank': 2, 'step': 8000, 'weight': 0.05027774954526833}, {'index': 17, 'rank': 3, 'step': 4550, 'weight': 0.05005309464177647}, {'index': 3, 'rank': 4, 'step': 600, 'weight': 0.04808532826636267}, {'index': 12, 'rank': 5, 'step': 2050, 'weight': 0.04787045772167173}]",0.8798828125,0.8798828125,0.8773642464917633,0.8899755501222494,0.8773642464917633,0.8899755501222494
success,491,error_structure,boundary_example_emphasis,boundary_example_emphasis__temperature_0p01,Prefer checkpoints that improve confidence on near-boundary support examples.,temperature,0.01,0,False,0.8798828125,0.8773642464917633,0.8899755501222494,0.13135697295542212,0.06263398019080403,"[{'index': 22, 'rank': 1, 'step': 8000, 'weight': 0.262749778849095}, {'index': 23, 'rank': 2, 'step': 13950, 'weight': 0.16903475742576032}, {'index': 9, 'rank': 3, 'step': 1250, 'weight': 0.08403330982394043}, {'index': 19, 'rank': 4, 'step': 6650, 'weight': 0.07585625348013746}, {'index': 13, 'rank': 5, 'step': 2100, 'weight': 0.0756348484387793}]",0.8798828125,0.8798828125,0.8773642464917633,0.8899755501222494,0.8773642464917633,0.8899755501222494
success,543,error_structure,tail_rescue_guardrail,tail_rescue_guardrail__alpha_0p15,Reward hard-example gains while guarding against damage on easy examples.,alpha,0.15,2,False,0.8798828125,0.8773642464917633,0.8899755501222494,0.1323223076660176,0.0563699838807102,"[{'index': 22, 'rank': 1, 'step': 8000, 'weight': 0.07853878530092558}, {'index': 23, 'rank': 2, 'step': 13950, 'weight': 0.06974931262648908}, {'index': 11, 'rank': 3, 'step': 1550, 'weight': 0.06447291385610972}, {'index': 9, 'rank': 4, 'step': 1250, 'weight': 0.06059641857639804}, {'index': 14, 'rank': 5, 'step': 3000, 'weight': 0.05947815772354558}]",0.8798828125,0.8798828125,0.8773642464917633,0.8899755501222494,0.8773642464917633,0.8899755501222494
success,435,domain,hard_domain_bridge,hard_domain_bridge__temperature_0p04,Prefer checkpoints that narrow the gap between the two hardest source domains instead of specializing in one.,temperature,0.04,4,False,0.8798828125,0.8785845027455765,0.8850855745721271,0.1213329124233403,0.06717875862822813,"[{'index': 0, 'rank': 1, 'step': 250, 'weight': 0.15007922836651652}, {'index': 8, 'rank': 2, 'step': 1000, 'weight': 0.11735828583559524}, {'index': 21, 'rank': 3, 'step': 7450, 'weight': 0.10653713790860872}, {'index': 1, 'rank': 4, 'step': 350, 'weight': 0.10619354905372178}, {'index': 17, 'rank': 5, 'step': 4550, 'weight': 0.05812125149282079}]",0.8798828125,0.8798828125,0.8785845027455765,0.8850855745721271,0.8785845027455765,0.8850855745721271
