status,global_index,method,family,scheme,description,parameter_name,parameter_value,variant_index,family_size,selected_steps,mean_full_acc,mean_in_acc,mean_out_acc,support_loss,validation_loss,art_painting_full_acc,mean_full_acc,mean_in_acc,mean_out_acc,test_env0_in_acc,test_env0_out_acc
success,4,blackwell_target_set_selector,blackwell_target_set_selector,blackwell_target_set_selector__target_epsilon_0p005,Greedy approachability selector that drives the uniform soup toward a source-domain target set.,target_epsilon,0.005,1,4,"[250, 350, 1000, 13300]",0.88330078125,0.884685784014643,0.8777506112469438,0.11064415076340135,0.05498218911645167,0.88330078125,0.88330078125,0.884685784014643,0.8777506112469438,0.884685784014643,0.8777506112469438
success,28,dpp_repulsive_subset,dpp_repulsive_subset,dpp_repulsive_subset__feature_gainfloor_prob_0p01,Greedy DPP MAP family with explicit subset repulsion and quality-weighted kernels.,feature_gainfloor,prob_0.01,0,212,"[100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1450, 1500, 1550, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3150, 3200, 3250, 3300, 3450, 3750, 3800, 3850, 4000, 4050, 4100, 4150, 4200, 4250, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5050, 5100, 5150, 5200, 5250, 5300, 5400, 5450, 5500, 5550, 5600, 5850, 5900, 5950, 6350, 6600, 6650, 6800, 6900, 6950, 7000, 7050, 7100, 7200, 7250, 7300, 7350, 7400, 7450, 7500, 7550, 7600, 7700, 7850, 7900, 7950, 8000, 8150, 8300, 8350, 8400, 8450, 8500, 8550, 8600, 8650, 8750, 8800, 8850, 8900, 8950, 9000, 9150, 9200, 9250, 9300, 9350, 9450, 9500, 9550, 9600, 9650, 9700, 9800, 9850, 9900, 10150, 10200, 10250, 10300, 10350, 10400, 10450, 10500, 10550, 10600, 10650, 10700, 10750, 10850, 10900, 11150, 11200, 11250, 11300, 11400, 11450, 11600, 11650, 11700, 11750, 11850, 11900, 11950, 12000, 12400, 12550, 12750, 12800, 13000, 13050, 13100, 13150, 13200, 13250, 13300, 13350, 13400, 13500, 13550, 13600, 13650, 13700, 13750, 13900, 13950, 14000, 14050, 14100, 14150, 14200, 14250, 14300, 14350, 14400, 14450, 14500, 14850, 14950]",0.87451171875,0.8700427089688835,0.8924205378973105,0.1401763627822004,0.04472921650559336,0.87451171875,0.87451171875,0.8700427089688835,0.8924205378973105,0.8700427089688835,0.8924205378973105
success,68,topological_persistence_selector,topological_persistence_selector,topological_persistence_selector__feature_persistence_prob_0p9,"Persistent-component selector over checkpoint geometry, using long-lived branches as family representatives.",feature_persistence,prob_0.9,2,30,"[50, 150, 350, 1300, 1600, 3100, 3750, 5900, 6250, 6400, 7300, 7500, 9000, 9050, 9150, 9600, 10050, 10650, 10950, 11000, 11050, 11250, 11400, 11550, 11700, 13300, 13450, 14550, 14700, 14950]",0.87255859375,0.8688224527150702,0.8875305623471883,0.13781479752180775,0.04661171363682306,0.87255859375,0.87255859375,0.8688224527150702,0.8875305623471883,0.8688224527150702,0.8875305623471883
success,20,checkpoint_banzhaf_selector,checkpoint_banzhaf_selector,checkpoint_banzhaf_selector__positive_mass_0p95,Game-theoretic family selector based on positive coalition value under uniform soups.,positive_mass,0.95,5,174,"[100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 1000, 1050, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1650, 1700, 1750, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2250, 2300, 2350, 2400, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3100, 3200, 3300, 3600, 4100, 4200, 4250, 4350, 4400, 4500, 4550, 4600, 4700, 4750, 4850, 4950, 5350, 5400, 5450, 5600, 6050, 6100, 6150, 6200, 6300, 6400, 6550, 6600, 6850, 6900, 6950, 7000, 7200, 7300, 7350, 7450, 7500, 7550, 7900, 7950, 8000, 8050, 8150, 8200, 8250, 8350, 8400, 8450, 8500, 8550, 8600, 8650, 8700, 8750, 8800, 8850, 8900, 8950, 9000, 9050, 9100, 9150, 9200, 9300, 9350, 9450, 9550, 9600, 9650, 9700, 9750, 9800, 9850, 9900, 10000, 10050, 10150, 10400, 10450, 10500, 10650, 10700, 10800, 10850, 10950, 11050, 11400, 11700, 11750, 11950, 12700, 12750, 12800, 12850, 12900, 12950, 13000, 13050, 13100, 13150, 13200, 13250, 13300, 13350, 13400, 13500, 13550, 13600, 13700, 13800, 14000, 14250, 14300, 14350, 14400, 14450, 14500, 14700, 14750, 14800, 14850, 14900, 14950]",0.87109375,0.8657718120805369,0.8924205378973105,0.13604606736831126,0.04508184960127628,0.87109375,0.87109375,0.8657718120805369,0.8924205378973105,0.8657718120805369,0.8924205378973105
success,12,bootstrap_stability_selector,bootstrap_stability_selector,bootstrap_stability_selector__fraction_freq_0p7_0p65,Resampling-based selector that keeps checkpoints surviving repeated support subsamples.,fraction_freq,0.7_0.65,3,9,"[250, 350, 450, 600, 750, 800, 1000, 9600, 9650]",0.87060546875,0.8688224527150702,0.8777506112469438,0.11446667452863377,0.06462218153814808,0.87060546875,0.87060546875,0.8688224527150702,0.8777506112469438,0.8688224527150702,0.8777506112469438
success,44,prequential_regret_selector,prequential_regret_selector,prequential_regret_selector__blocks_penalty_32_0p01,Dynamic-programming selector that keeps the checkpoint specialists actually used by the minimum-regret switching path.,blocks_penalty,32_0.01,2,22,"[3000, 3200, 4500, 4650, 5600, 6200, 6250, 6900, 7250, 8500, 8900, 8950, 9550, 9650, 9850, 10500, 13150, 13200, 13550, 14350, 14450, 14800]",0.86767578125,0.8633312995729103,0.8850855745721271,0.14176471801063936,0.044377440727558455,0.86767578125,0.86767578125,0.8633312995729103,0.8850855745721271,0.8633312995729103,0.8850855745721271
success,52,stochastic_dominance_selector,stochastic_dominance_selector,stochastic_dominance_selector__order_slack_second_0p0,Distributional frontier selector based on empirical stochastic dominance instead of mean-loss ranking.,order_slack,second_0.0,0,22,"[250, 350, 450, 500, 1000, 2000, 9550, 9600, 9650, 9800, 9850, 13100, 13150, 13250, 13300, 14200, 14250, 14300, 14350, 14400, 14450, 14550]",0.86083984375,0.8560097620500305,0.8801955990220048,0.13977240553774564,0.047837212806990166,0.86083984375,0.86083984375,0.8560097620500305,0.8801955990220048,0.8560097620500305,0.8801955990220048
success,36,minimum_description_length,minimum_description_length,minimum_description_length__feature_beta_prob_0p05,Greedy MDL family that adds checkpoints only when fit-plus-code-length improves.,feature_beta,prob_0.05,1,1,[350],0.85205078125,0.8535692495424039,0.8459657701711492,0.12219714657022114,0.0933011981869946,0.85205078125,0.85205078125,0.8535692495424039,0.8459657701711492,0.8535692495424039,0.8459657701711492
success,60,tangentprop_invariance_selector,tangentprop_invariance_selector,tangentprop_invariance_selector__threshold_0p02,"Finite-difference invariance selector inspired by TangentProp, using small deterministic brightness/contrast perturbations.",threshold,0.02,3,1,[14550],0.81201171875,0.8145210494203783,0.8019559902200489,0.21104123667351948,0.08919371105730534,0.81201171875,0.81201171875,0.8145210494203783,0.8019559902200489,0.8145210494203783,0.8019559902200489
